pdb	seed	DockQ_HA	iRMSD_HA	fnat_HA
7y3o	101	0.10096766993749011	7.5922857171483695	0.08823529411764706
7y3o	102	0.02144403431162097	16.728630539441973	0.0
7y3o	103	0.19447895000897333	5.610707197254011	0.20588235294117646
7y3o	104	0.1714996927471709	6.12138538805464	0.20588235294117646
7y3o	105	0.01805963781934749	16.678701611442182	0.0
7yds	101	0.0424993200959265	11.545412768263564	0.0
7yds	102	0.32833796150779176	3.6302858316841338	0.2647058823529412
7yds	103	0.29588478753450315	4.074082846686683	0.29411764705882354
7yds	104	0.2860454945566348	3.9298918932928357	0.23529411764705882
7yds	105	0.3093173805288456	3.9927308471161718	0.29411764705882354
7yv1	101	0.06633182708401471	12.211287302406133	0.1
7yv1	102	0.046770994389657115	11.710513738728528	0.03333333333333333
7yv1	103	0.02095650537143437	13.224630855533208	0.0
7yv1	104	0.2901344692357701	4.038543292686061	0.3333333333333333
7yv1	105	0.0170812516851071	14.056448070507392	0.0
7z1x	101	0.011046413356045318	12.148004428727328	0.0
7z1x	102			
7z1x	103			
7z1x	104			
7z1x	105			
7zau	101			
7zau	102			
7zau	103			
7zau	104			
7zau	105			
7zoz	101	0.0647011838859015	11.459686353108436	0.06060606060606061
7zoz	102	0.4380266985237942	3.1497340375962586	0.5757575757575758
7zoz	103	0.3774171535354196	3.4523770467583064	0.48484848484848486
7zoz	104	0.35703199730630786	3.5601930380798716	0.48484848484848486
7zoz	105	0.11915448927884376	9.238117393787766	0.18181818181818182
8a44	101	0.004592049772329525	17.922862086283097	0.0
8a44	102	0.004720628944264578	17.747221045165052	0.0
8a44	103	0.004376348495395632	18.399727150337934	0.0
8a44	104	0.004981593805253713	17.38165315345219	0.0
8a44	105	0.019967854872327835	8.34020416681483	0.0
8acf	101	0.641006673030699	1.0154702902688149	0.7551020408163265
8acf	102	0.660144130315971	0.9674730891747726	0.8367346938775511
8acf	103	0.6488586208333068	0.9360496205103511	0.7959183673469388
8acf	104	0.6279523542537019	1.0391474952712374	0.7755102040816326
8acf	105	0.621730488604508	1.073314717639883	0.7959183673469388
8aci	101	0.7079502187978374	0.69524580581823	0.8297872340425532
8aci	102	0.6909649606655864	0.7828549681689612	0.851063829787234
8aci	103	0.7037440174311951	0.8061168647452159	0.8297872340425532
8aci	104	0.69297408068599	0.8716535546874712	0.8085106382978723
8aci	105	0.7025043295023102	0.7295008979689191	0.8297872340425532
8aok	101	0.516397731344501	2.323753143603911	0.5769230769230769
8aok	102	0.04287872650577038	12.988993656057534	0.0
8aok	103	0.5697429607873813	2.2614171206389777	0.6346153846153846
8aok	104	0.584035731457239	2.194821104755392	0.6346153846153846
8aok	105	0.04222665708552704	13.043553874953025	0.0
8aom	101	0.7377484467818954	1.2548679512244285	0.7954545454545454
8aom	102	0.36638350883635024	3.1340013384928964	0.5
8aom	103	0.7617388813924025	1.1387077226529532	0.8181818181818182
8aom	104	0.6851325254447659	1.6118556880694936	0.7727272727272727
8aom	105	0.8220436673904818	0.9588048849821352	0.8409090909090909
8apy	101	0.8975239484284563	0.645138714717912	0.868421052631579
8apy	102	0.8981997728174017	0.6088059679965989	0.8552631578947368
8apy	103	0.9047611704685563	0.6046783747666654	0.868421052631579
8apy	104	0.8846127725941192	0.6881512691420545	0.8552631578947368
8apy	105	0.8989290486119305	0.6432367220722576	0.868421052631579
8b17	101	0.8981950680748533	0.5466425672063878	0.9113924050632911
8b17	102	0.913452558064262	0.4840135373175631	0.9113924050632911
8b17	103	0.9102413734305418	0.4404451968115583	0.8987341772151899
8b17	104	0.9130083376818857	0.5770110367174893	0.9113924050632911
8b17	105	0.898838965734105	0.4816034210250037	0.8987341772151899
8b18	101	0.907365443647928	0.52299156976902	0.922077922077922
8b18	102	0.9270348417965969	0.4734712789993864	0.948051948051948
8b18	103	0.9189796959443183	0.43767745123677604	0.922077922077922
8b18	104	0.9130846801602841	0.5750677967842928	0.9090909090909091
8b18	105	0.8981466973081744	0.4819257371801045	0.8961038961038961
8b19	101	0.9031122110796632	0.521711259877546	0.9102564102564102
8b19	102	0.9262723578484565	0.45361567980943807	0.9358974358974359
8b19	103	0.9166655845604267	0.4293000691586495	0.9102564102564102
8b19	104	0.9218208335446799	0.5465369323590341	0.9230769230769231
8b19	105	0.9037015851370448	0.4523726692015013	0.8974358974358975
8b1a	101	0.9030004090527678	0.5424347193281407	0.9113924050632911
8b1a	102	0.9152970241422024	0.4948056887871316	0.9240506329113924
8b1a	103	0.9079256943533554	0.4580313885578325	0.8987341772151899
8b1a	104	0.917205342792106	0.5765658646536196	0.9240506329113924
8b1a	105	0.8975288393498877	0.48867970946681866	0.8987341772151899
8b1d	101	0.9176281237494588	0.5339948125539307	0.958904109589041
8b1d	102	0.9366016389541544	0.4724956641491243	0.9726027397260274
8b1d	103	0.9274760313237081	0.438077078935557	0.9452054794520548
8b1d	104	0.9251241540745395	0.5756661170693679	0.9452054794520548
8b1d	105	0.9134121744699385	0.46985746077410095	0.9315068493150684
8b1e	101	0.9020457535925449	0.5405881295659009	0.9066666666666666
8b1e	102	0.9199066486066895	0.4854942395448452	0.9333333333333333
8b1e	103	0.9124037584237709	0.4484416550702823	0.9066666666666666
8b1e	104	0.9166794136692079	0.5740592627137353	0.92
8b1e	105	0.8976743593374148	0.47692625728522486	0.8933333333333333
8b1f	101	0.9118777039619456	0.5644820359161754	0.9473684210526315
8b1f	102	0.9207889015795966	0.5117308487954256	0.9473684210526315
8b1f	103	0.9170014418329538	0.4804371059510893	0.9342105263157895
8b1f	104	0.9211265237864287	0.6030087500296365	0.9473684210526315
8b1f	105	0.9073347101983317	0.50603486941366	0.9342105263157895
8b1g	101	0.9028665276030555	0.5661426380094204	0.9210526315789473
8b1g	102	0.9140983860098061	0.5237155132729729	0.9342105263157895
8b1g	103	0.9078184441105345	0.48011850483659074	0.9078947368421053
8b1g	104	0.9090917160587769	0.6245823800060826	0.9210526315789473
8b1g	105	0.891049737956128	0.5254370332663414	0.8947368421052632
8b7h	101	0.3783968953476475	3.3398227413417474	0.696969696969697
8b7h	102	0.41943057211990514	3.163800056473112	0.6060606060606061
8b7h	103	0.3748867881057225	3.2177571391482864	0.6060606060606061
8b7h	104	0.315222100077158	3.489186325867504	0.45454545454545453
8b7h	105	0.41534375600240764	2.950707507477103	0.7272727272727273
8be2	101	0.8150848147256845	0.6856016537479825	0.7735849056603774
8be2	102	0.719835864187103	0.9650330145529976	0.7547169811320755
8be2	103	0.7176869070488218	0.6788593728197214	0.8113207547169812
8be2	104	0.6167352005311676	0.5653436589831279	0.7547169811320755
8be2	105	0.8974371682807295	0.45925468547371107	0.8113207547169812
8bec	101			
8bec	102			
8bec	103			
8bec	104			
8bec	105			
8bg2	101			
