pdb	seed_dir	cdr_h3_rmsd	fw_rmsd	cdr_h3_len	has_light
7y3o	seed_1181241943	2.8847	1.3633	17	True
7y3o	seed_1812140441	1.3596	1.3993	17	True
7y3o	seed_2746317213	1.0627	1.2035	17	True
7y3o	seed_3163119785	2.0583	1.2319	17	True
7y3o	seed_958682846	1.6737	1.1707	17	True
7yds	seed_1181241943	5.6639	4.8022	12	True
7yds	seed_1812140441	5.2935	1.6963	12	True
7yds	seed_2746317213	5.9222	5.2628	12	True
7yds	seed_3163119785	5.2908	1.1065	12	True
7yds	seed_958682846	5.29	1.246	12	True
7yv1	seed_1181241943	2.4249	1.1096	13	True
7yv1	seed_1812140441	1.7299	1.129	13	True
7yv1	seed_2746317213	4.3243	5.3509	13	True
7yv1	seed_3163119785	1.8434	0.9432	13	True
7yv1	seed_958682846	1.5956	1.2186	13	True
7z1x	seed_1181241943	1.6367	0.7597	12	False
7z1x	seed_1812140441	2.4073	1.2929	12	False
7z1x	seed_2746317213	2.3949	1.3528	12	False
7z1x	seed_3163119785	1.9996	0.7395	12	False
7z1x	seed_958682846	5.5433	1.3281	12	False
7zau	seed_1181241943	4.3883	1.1739	17	False
7zau	seed_1812140441	2.3943	1.1692	17	False
7zau	seed_2746317213	2.6783	0.8755	17	False
7zau	seed_3163119785	2.1932	1.4212	17	False
7zau	seed_958682846	3.1315	0.801	17	False
7zoz	seed_1181241943	2.7521	0.8935	15	True
7zoz	seed_1812140441	3.7939	0.7829	15	True
7zoz	seed_2746317213	5.108	4.7356	15	True
7zoz	seed_3163119785	2.8425	1.6072	15	True
7zoz	seed_958682846	6.4933	6.3194	15	True
8a44	seed_1181241943	3.4911	0.8007	16	True
8a44	seed_1812140441	2.9807	0.7694	16	True
8a44	seed_2746317213	1.7888	1.6754	16	True
8a44	seed_3163119785	3.9462	1.545	16	True
8a44	seed_958682846	4.2865	4.2695	16	True
8acf	seed_1181241943	2.92	3.3099	11	True
8acf	seed_1812140441	1.5036	1.5893	11	True
8acf	seed_2746317213	2.7685	3.1176	11	True
8acf	seed_3163119785	2.6064	2.7285	11	True
8acf	seed_958682846	2.6205	2.9356	11	True
8aci	seed_1181241943	3.2343	3.6144	11	True
8aci	seed_1812140441	3.0235	3.2735	11	True
8aci	seed_2746317213	1.4824	1.5325	11	True
8aci	seed_3163119785	2.9347	3.1539	11	True
8aci	seed_958682846	3.362	3.6794	11	True
8aok	seed_1181241943	2.2288	0.8404	20	False
8aok	seed_1812140441	1.8839	1.115	20	False
8aok	seed_2746317213	2.1821	0.6613	20	False
8aok	seed_3163119785	5.044	0.7242	20	False
8aok	seed_958682846	1.7734	0.8346	20	False
8aom	seed_1181241943	1.3313	0.4053	12	False
8aom	seed_1812140441	0.7781	0.8676	12	False
8aom	seed_2746317213	0.7657	0.3789	12	False
8aom	seed_3163119785	0.7807	0.913	12	False
8aom	seed_958682846	1.1495	0.9231	12	False
8apy	seed_1181241943	0.6195	0.2827	14	False
8apy	seed_1812140441	0.3833	0.264	14	False
8apy	seed_2746317213	0.7194	0.2638	14	False
8apy	seed_3163119785	0.5396	0.2841	14	False
8apy	seed_958682846	0.5467	0.2968	14	False
8b17	seed_1181241943	0.447	1.0933	17	False
8b17	seed_1812140441	0.5564	0.9358	17	False
8b17	seed_2746317213	0.6105	1.5927	17	False
8b17	seed_3163119785	0.6421	0.981	17	False
8b17	seed_958682846	0.3832	1.1737	17	False
8b18	seed_1181241943	0.462	1.082	17	False
8b18	seed_1812140441	0.5893	0.9332	17	False
8b18	seed_2746317213	0.6286	1.5884	17	False
8b18	seed_3163119785	0.6911	0.9861	17	False
8b18	seed_958682846	0.4103	1.1741	17	False
8b19	seed_1181241943	0.458	1.0646	17	False
8b19	seed_1812140441	0.5518	0.9207	17	False
8b19	seed_2746317213	0.5783	1.5736	17	False
8b19	seed_3163119785	0.6259	0.971	17	False
8b19	seed_958682846	0.3525	1.1603	17	False
8b1a	seed_1181241943	0.467	1.0803	17	False
8b1a	seed_1812140441	0.5561	0.9334	17	False
8b1a	seed_2746317213	0.5941	1.5938	17	False
8b1a	seed_3163119785	0.6546	0.9879	17	False
8b1a	seed_958682846	0.3624	1.1792	17	False
8b1d	seed_1181241943	0.4341	1.0499	17	False
8b1d	seed_1812140441	0.5489	0.9232	17	False
8b1d	seed_2746317213	0.5865	1.5824	17	False
8b1d	seed_3163119785	0.6337	0.9748	17	False
8b1d	seed_958682846	0.3502	1.1696	17	False
8b1e	seed_1181241943	0.4463	1.0718	17	False
8b1e	seed_1812140441	0.5632	0.9398	17	False
8b1e	seed_2746317213	0.5886	1.6027	17	False
8b1e	seed_3163119785	0.6598	0.9972	17	False
8b1e	seed_958682846	0.3577	1.1905	17	False
8b1f	seed_1181241943	0.4444	1.0687	17	False
8b1f	seed_1812140441	0.5615	0.927	17	False
8b1f	seed_2746317213	0.6053	1.588	17	False
8b1f	seed_3163119785	0.6503	0.9832	17	False
8b1f	seed_958682846	0.377	1.1786	17	False
8b1g	seed_1181241943	0.4692	1.081	17	False
8b1g	seed_1812140441	0.5911	0.9262	17	False
8b1g	seed_2746317213	0.6658	1.5797	17	False
8b1g	seed_3163119785	0.6719	0.9767	17	False
8b1g	seed_958682846	0.4285	1.1656	17	False
8b7h	seed_1181241943	3.8902	3.8762	17	True
8b7h	seed_1812140441	4.0065	4.0718	17	True
8b7h	seed_2746317213	3.7722	3.5381	17	True
8b7h	seed_3163119785	3.5748	2.1006	17	True
8b7h	seed_958682846	1.0851	1.0048	17	True
8be2	seed_1181241943	0.4715	0.4995	11	False
8be2	seed_1812140441	1.1634	0.5011	11	False
8be2	seed_2746317213	0.3553	0.4997	11	False
8be2	seed_3163119785	0.6021	0.4475	11	False
8be2	seed_958682846	0.5707	0.48	11	False
8bec	seed_1181241943	27.9263	17.0539	12	False
8bec	seed_1812140441	33.3152	17.4888	12	False
8bec	seed_2746317213	28.5486	17.1554	12	False
8bec	seed_3163119785	28.4566	17.4107	12	False
8bec	seed_958682846	31.952	18.04	12	False
8bg2	seed_1181241943	19.9119	15.2594	13	False
8bg2	seed_1812140441	19.1216	16.3804	13	False
8bg2	seed_2746317213	36.4455	19.0088	13	False
8bg2	seed_3163119785	3.5986	1.0875	13	False
8bg2	seed_958682846	33.2686	17.6227	13	False
8bg3	seed_1181241943	22.2902	14.1114	12	False
8bg3	seed_1812140441	23.5984	14.022	12	False
8bg3	seed_2746317213	22.8399	11.8864	12	False
8bg3	seed_3163119785	25.9403	14.6955	12	False
8bg3	seed_958682846	22.5751	11.7592	12	False
8bg4	seed_1181241943	24.3534	16.6413	11	False
8bg4	seed_1812140441	35.3996	16.2539	11	False
8bg4	seed_2746317213	36.4643	16.2713	11	False
8bg4	seed_3163119785	33.4817	17.3402	11	False
8bg4	seed_958682846	37.0111	17.7183	11	False
8bg5	seed_1181241943	30.1186	17.6803	12	False
