pdb	has_light	pae_h1_ag	pae_h2_ag	pae_h3_ag	pae_fw_ag	pae_l1_ag	pae_l2_ag	pae_l3_ag	pae_lfw_ag
7y3o	True	22.882489304768043	22.49773080283505	23.954979876895088	23.66513701279312	22.659305513745704	22.837032501718213	22.634260312714776	23.515235402824533
7yds	True	20.147180069444442	19.932962062271063	20.291151934472936	22.079628274522832	20.474552136752138	19.551757361823363	22.113550744444446	21.664335750055354
7yv1	True	20.159149399737014	19.78572638884193	20.962820086936734	21.585059121991595	20.272963739644972	20.250376487179487	20.314473428007886	21.290238150720683
7z1x	False	21.97143969300518	21.679946707623984	20.383641930267704	21.176770048781204				
7zau	False	29.483000156314702	29.27986288069358	28.991745329070756	28.95264859605067				
7zoz	True	22.046452933	22.205539797999997	22.66776673013333	23.738569031833332	22.109276554666664	22.141307224000006	22.28509670311111	23.593560635610256
8a44	True	24.624641792235497	24.330406369880542	25.189818696885666	25.56349937443633	24.709361819681458	24.982723353811146	25.286956256996582	25.538739337655255
8acf	True	11.415046100543478	11.61781998188406	12.319241610013172	15.616118088956823	12.387421612318839	12.067188169082124	12.186330451690822	15.141884572801679
8aci	True	8.150739264492755	8.209137421195653	9.334384113306983	13.0671920707654	9.022070681884058	8.864992666666666	8.873405957326893	12.754280884575568
8aok	False	17.571809782327584	13.149862854525862	15.766717512500001	13.791526095490717				
8aom	False	21.021780478587964	9.811491564814816	12.614108852623456	8.899997063492062				
8apy	False	9.564813888480392	6.196855647058823	3.4203303536414564	6.003503368131868				
8b17	False	9.871989411862527	6.483800294583466	6.84804802634668	10.22695356473334				
8b18	False	9.895220636640799	6.47759071555274	6.857014599321769	10.234472490722371				
8b19	False	9.874646374722838	6.464512680076021	6.846079169427417	10.224352127226048				
8b1a	False	9.866878194290468	6.488224342730441	6.8559703756358426	10.234237758898354				
8b1d	False	9.881018595343683	6.486504837820717	6.844376151689057	10.240995852398179				
8b1e	False	9.869225557649667	6.47458008394045	6.855332820138254	10.230403634146342				
8b1f	False	9.892695139689579	6.480334703832753	6.856991197991392	10.234956080336095				
8b1g	False	9.872763982538803	6.453904440608173	6.839355125342376	10.220690246493172				
8b7h	True	14.668671070945948	14.5279603597973	18.078822697138314	18.67805239706728	15.197293439189188	14.835816081081083	14.975652163851354	18.618867793367343
8be2	False	11.956875587416482	11.75189207222399	11.534387012148208	12.429235472259343				
8bec	False	26.907430301546395	26.699391091310744	27.321730913659792	28.88201134413725				
8bg2	False	27.02888543264249	27.207289997779426	27.52667447030689	29.23977674931653				
8bg3	False	26.133778641361253	26.21166472774869	27.202296684554973	28.273485360516155				
8bg4	False	24.395452829487176	24.629894236630033	24.64641537202797	27.849636854657252				
8bg5	False	30.068732664948456	30.047846316642126	30.22946973109966	28.49199703272415				
8bk2	True	24.690905907670455	24.704461150568182	25.188236967171722	26.101058277139757	25.0775705625	24.735454570075756	25.08056630909091	26.03283943424906
8byu	True	26.621526616967873	24.146977510040163	25.613216171543314	25.248443387194612	24.369218439759038	24.27190943507363	24.294746170013386	25.07551324189064
8c3k	False	19.843490449999997	15.08978944047619	16.07700330333333	16.05334397912088				
8c5h	False	15.684963020325204	15.996036140243902	20.451303523577234	17.11889054060762				
8cbf	True	7.088457228535353	7.07890132260101	6.123326647842056	11.321233665108533	6.3917808326118335	5.801548294612795	7.450683732828282	10.546024550170069
8d9y	True	13.906776691176471	15.587701663865547	13.13943684485294	17.609391875239766	14.082078421568626	13.999758446078433	14.426048671568626	17.196216175641027
8d9z	True	12.707091751838236	15.444051207983193	14.410384647794118	17.42196417110907	13.778261627450979	13.448061176470588	13.953332289215687	16.93849474766214
8da0	True	9.128615765384616	11.507946903296705	6.816962373076922	14.889393433706994	10.408367156410256	10.148526123076923	10.295691586324788	13.960605053532182
8ee2	False	11.821061387372014	12.223491897123354	9.80756189273525	13.290582518349977				
8eln	False	8.08822268579932	9.758117483965012	8.767749201988487	10.13408838708962				
8elq	False	24.95445742976804	24.938764157216493	26.4889155007732	24.845081976689574				
8et0	False	14.044806158288043	6.550223283126294	7.1717063771135265	9.043246845790588				
8evd	False	17.265429150935375	15.310501602659246	16.199657723889555	15.451555901475196				
8ezk	False	27.999048352067184	27.999557508305646	28.4984902003876	29.782525866591044				
8ezl	False	23.215135973863635	22.787430591720778	24.11421970004735	24.733548822716603				
8ezm	False	25.555716237654316	25.519000244598768	25.687842047839503	28.15037734330484				
8f5i	True	6.572642898351648	7.4809914189560445	10.590797998534798	9.258654086743045	11.170340789835164	6.731935952380952	8.957137679320681	9.01191817280647
8f6u	False	23.66486665955631	24.053355150170653	23.766508103995182	23.581846154076604				
8f6v	False	28.078408719630712	27.017135135082604	27.683305272448976	27.289781425093633				
8fdo	True	3.1899597236238537	3.0519064461009178	3.2080025919266055	7.082625105480569	3.730730354740061	3.5064623027522934	2.935571272477064	6.714634371065632
8fxv	False	24.164231012578618	23.46175859299191	21.043111945969123	21.143088308805034				
8g0i	False	23.084559896959462	23.01165697361647	23.70727214864865	23.169606546629048				
8g4p	True	22.33391124601064	21.50081489969605	21.82271700671892	23.274558075826167	22.269635787234044	22.17031891134752	22.12589872104019	23.196765250162834
8gjr	False	5.88489990443686	6.194513578742076	4.292040341296928	6.888738791233655				
8gy5	True	12.300123711009174	12.655588270642202	13.250035026605504	15.923534138995759	11.20968271559633	11.294167039755353	11.794134565749236	15.42687244916296
8gye	True	16.69229648448905	15.893650750782065	17.646349510285336	18.356728569074146	18.559972066909975	17.990170681265205	18.3835611865369	18.609436531162267
8h5t	False	26.33969224596774	25.978968595238094	26.151173018996417	26.21542837676695				
8h5u	False	23.859163362051284	22.946524945054946	22.956834470769234	23.173366540546635				
8h63	False	18.547778291937227	6.606237778293136	8.801911121057515	8.405913537758536				
8h64	False	18.432172511761486	17.784345172137126	20.169778587648917	17.57202027831731				
8hes	True	23.39098884895833	23.1778888203125	25.153217648726855	26.064285675859516	23.36462427951389	23.318127949652776	23.634383409564393	26.221851213955027
8hr2	False	22.58477011424731	22.716934952956986	21.973666397081416	20.88858532902044				
8idi	False	25.409686697649573	25.324023899639425	27.421867177884618	25.402657229754272				
8ido	False	27.09087451622596	26.788469096153847	26.645335563155594	26.591973892788463				
8im0	False	4.182173432827103	5.380645919225634	3.1429065414330215	5.557175500049712				
8im1	False	15.109411071261679	11.73527952978972	14.165938089768815	12.608003687891548				
