pdb	seed_dir	DockQ_HA	iRMSD_HA	fnat_HA	DockQ_LA	iptm	ptm	avg_plddt	gpde	ha_iptm	ranking_score
7y3o	seed_1181241943	0.0258248236745471	17.42418115780891	0.0	0.0272976008791546	0.570141	0.683768	88.796875	0.556265	0.179846	0.592866
7y3o	seed_1812140441	0.0546962299631173	10.072356093818629	0.0	0.053460528134661	0.553413	0.675183	88.955505	0.578736	0.138069	0.577767
7y3o	seed_2746317213	0.0711726926321482	9.24648445423073	0.0294117647058823	0.0656131546883112	0.565481	0.679942	88.836296	0.555389	0.162653	0.588373
7y3o	seed_3163119785	0.0206884543552608	15.416458102966194	0.0	0.0205874376260912	0.558501	0.676639	88.901695	0.554118	0.150251	0.582129
7y3o	seed_958682846	0.0344711112309789	13.85997678109038	0.0	0.0382167523695253	0.546294	0.667554	88.823509	0.561616	0.126236	0.570546
7yds	seed_1181241943	0.0276703877133692	11.767137601972284	0.0	0.0586179189678071	0.6163	0.69759	88.762474	0.505917	0.196041	0.632558
7yds	seed_1812140441	0.0449739309533179	10.414713775271665	0.0	0.0745682110580396	0.644722	0.718187	89.363754	0.484709	0.265393	0.659415
7yds	seed_2746317213	0.03503753869555	10.793243178363566	0.0	0.0653741007703929	0.630793	0.702918	88.994438	0.48377	0.245173	0.645218
7yds	seed_3163119785	0.0485557468040785	10.086578495962264	0.0	0.0782500682909303	0.676439	0.735305	89.955368	0.436136	0.349163	0.688212
7yds	seed_958682846	0.2958677072300397	3.5947269109248903	0.2647058823529412	0.2757104271324535	0.680577	0.736549	90.10466	0.443065	0.385888	0.691772
7yv1	seed_1181241943	0.0387112989024143	9.993688351211434	0.0	0.0380061670580186	0.611295	0.71184	88.217018	0.552102	0.212185	0.631404
7yv1	seed_1812140441	0.0264663623664829	14.502108988077095	0.0	0.0249130650312237	0.590266	0.698758	87.738655	0.559303	0.152121	0.611964
7yv1	seed_2746317213	0.0331223576253134	14.354955330817758	0.0	0.0342697678195164	0.511594	0.59836	86.875053	0.572598	0.169804	0.528947
7yv1	seed_3163119785	0.0295446691033615	13.554274899014496	0.0	0.0270931559589824	0.5903	0.698346	87.662849	0.561141	0.161349	0.611909
7yv1	seed_958682846	0.0310557432547542	12.622414230618666	0.0	0.0287588622156982	0.596754	0.707239	87.822289	0.565676	0.159079	0.618851
7z1x	seed_1181241943	0.3969454568676018	1.6692415403563072	0.660377358490566		0.389059	0.699891	82.961746	0.710289	0.389059	0.459209
7z1x	seed_1812140441					0.463155	0.74584	82.132622	0.716599	0.463155	0.521688
7z1x	seed_2746317213					0.441011	0.742405	81.982147	0.728887	0.441011	0.50129
7z1x	seed_3163119785					0.118833	0.66852	81.519798	0.828353	0.118833	0.230767
7z1x	seed_958682846					0.472821	0.752286	82.067566	0.702401	0.472821	0.528714
7zau	seed_1181241943					0.108474	0.74122	86.828308	0.699506	0.108474	0.235023
7zau	seed_1812140441					0.248452	0.777167	87.952461	0.575425	0.248452	0.354195
7zau	seed_2746317213					0.182139	0.760982	87.339531	0.633673	0.182139	0.297907
7zau	seed_3163119785					0.450314	0.817191	88.778664	0.538343	0.450314	0.52369
7zau	seed_958682846					0.139255	0.739067	86.994423	0.650553	0.139255	0.259217
7zoz	seed_1181241943	0.0407686224148767	10.409373969348916	0.0	0.0414383495602996	0.59663	0.694068	88.534302	0.516647	0.151763	0.616117
7zoz	seed_1812140441	0.0527284760308639	9.629379289351128	0.0	0.0484202645977789	0.638862	0.716103	88.872475	0.519143	0.295552	0.65431
7zoz	seed_2746317213	0.1043824714143498	7.859194850825053	0.1212121212121212	0.1233924564858645	0.591834	0.671966	88.340881	0.487455	0.197571	0.60786
