pdb	n_contact	n_noncontact	contact_fraction	pae_contact_ag	pae_noncontact_ag	pae_cdr_ag	ratio_contact_noncontact
7y3o	8	9	0.4705882352941176	15.346683	15.25685977935791	15.29913	1.0058873891830444
7yds	5	7	0.4166666666666667	12.42172	11.693601608276367	11.9969845	1.0622663497924805
7yv1	4	9	0.3076923076923077	8.522556	8.243671417236328	8.329482	1.033830165863037
7z1x	10	2	0.8333333333333334	16.637932	13.237743377685547	16.071234	1.2568556070327759
7zau	4	13	0.2352941176470588	26.410435	25.815858840942383	25.95576	1.02303147315979
7zoz	7	8	0.4666666666666667	19.10982	17.81658363342285	18.420095	1.0725860595703125
8a44	12	4	0.75	19.121298	18.10989761352539	18.868448	1.0558478832244873
8acf	5	6	0.4545454545454545	21.182938	20.980804443359375	21.072683	1.0096341371536255
8aci	5	6	0.4545454545454545	18.43968	18.346975326538086	18.389112	1.0050528049468994
8aok	8	12	0.4	5.959649	5.6988983154296875	5.8031983	1.0457545518875122
8aom	7	5	0.5833333333333334	7.152314	7.722745895385742	7.3899937	0.9261361360549927
8apy	8	6	0.5714285714285714	2.7138343	2.8901777267456055	2.7894099	0.938985288143158
8b17	13	4	0.7647058823529411	4.834078	4.166399002075195	4.676977	1.1602531671524048
8b18	13	4	0.7647058823529411	4.834078	4.166399002075195	4.676977	1.1602531671524048
8b19	12	5	0.7058823529411765	4.888161	4.170134544372559	4.676977	1.1721830368041992
8b1a	13	4	0.7647058823529411	4.834078	4.166399002075195	4.676977	1.1602531671524048
8b1d	12	5	0.7058823529411765	4.888161	4.170134544372559	4.676977	1.1721830368041992
8b1e	12	5	0.7058823529411765	4.888161	4.170134544372559	4.676977	1.1721830368041992
8b1f	13	4	0.7647058823529411	4.834078	4.166399002075195	4.676977	1.1602531671524048
8b1g	12	5	0.7058823529411765	4.888161	4.170134544372559	4.676977	1.1721830368041992
8b7h	5	12	0.2941176470588235	21.871832	19.022228240966797	19.860348	1.149803876876831
8be2	6	5	0.5454545454545454	21.755053	21.02783203125	21.424498	1.0345836877822876
8bec	7	5	0.5833333333333334	25.234898	25.035411834716797	25.15178	1.0079681873321533
8bg2	5	8	0.3846153846153846	18.047096	16.17731285095215	16.89646	1.1155805587768555
8bg3	7	5	0.5833333333333334	17.147238	17.064577102661133	17.112797	1.0048439502716064
8bg4	6	5	0.5454545454545454	22.48556	22.37938690185547	22.4373	1.0047441720962524
8bg5	6	6	0.5	21.612183	20.544208526611328	21.078196	1.051984190940857
8bk2	5	4	0.5555555555555556	3.847815	3.0997560024261475	3.5153444	1.2413283586502075
8byu	5	9	0.3571428571428571	18.994616	17.155004501342773	17.81201	1.1072347164154053
8c3k	3	2	0.6	2.4139726	2.1343863010406494	2.302138	1.1309914588928223
8c5h	2	8	0.2	12.813539	13.127875328063965	13.065007	0.9760558009147644
8cbf	5	6	0.4545454545454545	14.623254	14.416265487670898	14.510351	1.0143579244613647
8d9y	9	11	0.45	12.29223	10.966227531433105	11.562928	1.1209168434143066
8d9z	8	12	0.4	15.383064	17.53809356689453	16.67608	0.8771229386329651
8da0	9	11	0.45	16.00092	11.743701934814453	13.659451	1.3625106811523438
8ee2	9	5	0.6428571428571429	22.761358	22.003877639770508	22.49083	1.034424901008606
8eln	7	6	0.5384615384615384	3.7495675	4.089573383331299	3.9064932	0.9168602824211121
8elq	11	9	0.55	13.043139	13.078268051147461	13.058948	0.9973139762878418
8et0	7	5	0.5833333333333334	18.796062	17.758012771606445	18.363543	1.058455228805542
8ezk	6	9	0.4	24.384876	23.945775985717773	24.121416	1.0183372497558594
8ezl	12	12	0.5	19.05667	17.833473205566406	18.445072	1.0685899257659912
