pdb	mean_att_ha	mean_att_la	mean_att_hl	paegat_pred	dockq_ha	iptm
8bg5	0.0047557456			0.03476400673389435	0.013117446564137936	0.43108639121055603
8bg5	0.004766559			0.08152104169130325	0.013206597417593002	0.5217982530593872
8bg5	0.004744355			0.0399501696228981	0.012995618395507336	0.4115024507045746
8bg5	0.004769818			0.05225098505616188	0.012973216362297535	0.518811821937561
8byu	0.0022924088	0.0031572007574141026	0.0009988275123760104	0.17741772532463074	0.013706107623875141	0.6203329563140869
8byu	0.0023471978	0.003061362076550722	0.0010416645091027021	0.11789684742689133	0.030229477211833	0.5247023701667786
8byu	0.002298193	0.003227553330361843	0.0009130244143307209	0.2012740820646286	0.0063098412938416	0.644736111164093
8byu	0.0023256182	0.0030800974927842617	0.001045857323333621	0.13699516654014587	0.04568493738770485	0.5539271235466003
8byu	0.0024326919	0.0029567014425992966	0.001058899681083858	0.0892687737941742	0.045673638582229614	0.4876341223716736
8c3k	0.011963195			0.7493473887443542	0.7624936699867249	0.9178950190544128
8c3k	0.012103545			0.7053778767585754	0.7917424440383911	0.8839340209960938
8c3k	0.012142435			0.673804759979248	0.783342182636261	0.8710209727287292
8c3k	0.0120984325			0.7288375496864319	0.7772538065910339	0.8838232159614563
8c3k	0.012201398			0.6517272591590881	0.781735897064209	0.8466848134994507
8c5h	0.008054682			0.30761221051216125	0.1719013750553131	0.5905771255493164
8c5h	0.007897583			0.4101146459579468	0.45938098430633545	0.7667598128318787
8c5h	0.008043164			0.3161211907863617	0.1716364026069641	0.6332909464836121
8c5h	0.008011872			0.3358914852142334	0.21836663782596588	0.6715671420097351
8c5h	0.008071771			0.2651197910308838	0.2556130588054657	0.4133201241493225
8cbf	0.0026396483	0.0034887369256466627	0.0011284996289759874	0.16608677804470062	0.026250548660755157	0.7242236733436584
8cbf	0.0026283418	0.0037722953129559755	0.0008738846518099308	0.14604909718036652	0.025079065933823586	0.8820193409919739
8cbf	0.0026762602	0.0033791440073400736	0.0011955087538808584	0.07645703107118607	0.019974064081907272	0.5872644782066345
8cbf	0.0026586845	0.003492409596219659	0.0011076652444899082	0.18090373277664185	0.026711290702223778	0.7288163900375366
8cbf	0.002627464	0.003552735783159733	0.0010805760975927114	0.17649494111537933	0.026409585028886795	0.7401696443557739
8d9y	0.004798831	0.005190914496779442	0.0022077776957303286	0.35193121433258057	0.06027328222990036	0.8262559771537781
8d9z	0.0048831445	0.005395205225795507	0.0020710572134703398	0.24292488396167755	0.2854224145412445	0.7112929224967957
8d9z	0.0045098495	0.0055251349695026875	0.002150136511772871	0.5210727453231812	0.3507145941257477	0.8247765302658081
8d9z	0.004146386	0.004316059872508049	0.002628220710903406	0.4095495939254761	0.13439473509788513	0.8462315201759338
8d9z	0.004659135	0.0059288921765983105	0.0019817620050162077	0.5225376486778259	0.04313112795352936	0.8395593166351318
8d9z	0.0047288644	0.005138046573847532	0.0021969061344861984	0.30282992124557495	0.3128312826156616	0.7860874533653259
8ee2	0.0061259754			0.49687567353248596	0.5426583886146545	0.5779578685760498
8elq	0.006431347			0.40402859449386597	0.010614000260829926	0.5821401476860046
8elq	0.0064395787			0.28615254163742065	0.013211619108915329	0.2944261133670807
8elq	0.00644301			0.3855673372745514	0.010070743039250374	0.492503821849823
8elq	0.0064316643			0.1885494440793991	0.011666793376207352	0.25032123923301697
8elq	0.006424555			0.12970460951328278	0.01068818848580122	0.2134859561920166
8ezl	0.0047004977			0.020923033356666565	0.007998451590538025	0.404438316822052
8ezl	0.004788934			0.033545296639204025	0.010611734353005886	0.620263397693634
8ezl	0.0047740624			0.037710778415203094	0.02643793262541294	0.7821640968322754
8ezl	0.0047586267			0.04238865152001381	0.02073124796152115	0.6842715740203857
8ezl	0.0047019063			0.02341189794242382	0.02598331682384014	0.40166184306144714
8ezm	0.0049531353			0.019114838913083076	0.01037841197103262	0.17459802329540253
8ezm	0.0049352758			0.02093798853456974	0.011398658156394958	0.1635512262582779
8ezm	0.0050777877			0.018700772896409035	0.04039265960454941	0.29272887110710144
8ezm	0.004964483			0.017802488058805466	0.010674381628632545	0.16976162791252136
8ezm	0.005004985			0.01807934232056141	0.009686443954706192	0.20285864174365997
8f5i	0.0038324192	0.005396140273660421	0.0016957687912508845	0.6327669620513916	0.6860896348953247	0.9124813079833984
8f5i	0.0040660286	0.005289746448397636	0.0016396024730056524	0.6622434854507446	0.6835973262786865	0.9246548414230347
8f5i	0.0043936586	0.0043757264502346516	0.0018833858193829656	0.6479871869087219	0.7527569532394409	0.9133269190788269
8f5i	0.003984158	0.0053072525188326836	0.0016690838383510709	0.637170672416687	0.7203853726387024	0.9095929265022278
8f5i	0.004466266	0.0040114508010447025	0.0020032015163451433	0.6667951941490173	0.779360294342041	0.9135802388191223
8f6v	0.0055374065			0.7323629260063171	0.007851163856685162	0.7989484667778015
8fdo	0.0036914002	0.0037973627913743258	0.0019175077322870493	0.1093939021229744	0.04789159074425697	0.7428192496299744
8fdo	0.004192464	0.004282980225980282	0.001434838050045073	0.059992510825395584	0.08705213665962219	0.6745076179504395
8fdo	0.0036007091	0.003649301128461957	0.0020333097781986	0.11258921027183533	0.05396300181746483	0.758162796497345
8fdo	0.0033017348	0.0028804116882383823	0.002546445233747363	0.29883119463920593	0.6487971544265747	0.839120090007782
8fdo	0.0038562405	0.003920833580195904	0.0017756110755726695	0.15986795723438263	0.04633656516671181	0.7526686191558838
8fxv	0.0057261633			0.32671964168548584	0.05214669927954674	0.6873673796653748
8fxv	0.0056709438			0.370952308177948	0.04891657084226608	0.7667973637580872
8fxv	0.0056053377			0.47802409529685974	0.04658297449350357	0.809289813041687
8fxv	0.00561199			0.4826948046684265	0.06685055047273636	0.8329028487205505
8fxv	0.0056613553			0.396530419588089	0.04309569299221039	0.798846960067749
8g0i	0.0062707094			0.13213102519512177	0.007952047511935234	0.18112562596797943
8g0i	0.006443766			0.32172951102256775	0.016010966151952744	0.3714323043823242
8g0i	0.0063704755			0.3072725832462311	0.020536744967103004	0.3447015583515167
8g0i	0.0064366073			0.3390157222747803	0.020753469318151474	0.5080904960632324
8g0i	0.0063034613			0.2283523678779602	0.008918284438550472	0.29153701663017273
8g4p	0.0035257633	0.004860874731093645	0.0019636296201497316	0.18107888102531433	0.07616406679153442	0.7926576137542725
8g4p	0.0031803248	0.004562254995107651	0.0022419823799282312	0.3533353805541992	0.16970393061637878	0.8202710747718811
8g4p	0.0036060256	0.005063795018941164	0.0018422517459839582	0.20659269392490387	0.05913451686501503	0.7949157953262329
8g4p	0.0037595015	0.0045678275637328625	0.0019849378149956465	0.32714134454727173	0.02747180499136448	0.7648390531539917
8g4p	0.0037120262	0.004927228204905987	0.0018541024764999747	0.37285757064819336	0.03480101004242897	0.7975687980651855
8gjr	0.0057451013			0.33012181520462036	0.7369804978370667	0.8248852491378784
8gjr	0.0058011054			0.2584889531135559	0.7144888043403625	0.7518599033355713
8gjr	0.0058686133			0.19708149135112762	0.007731489837169647	0.413004994392395
8gjr	0.005846312			0.3731074035167694	0.4298219680786133	0.695559561252594
8gjr	0.0057441657			0.30730098485946655	0.6037490367889404	0.8156447410583496
8gy5	0.0022209736	0.004082628525793552	0.002657318254932761	0.6133313775062561	0.4939500391483307	0.9623927474021912
8gy5	0.002093216	0.00419278722256422	0.002659984165802598	0.6230608820915222	0.5178772211074829	0.9716461300849915
8gy5	0.0022535056	0.004233750980347395	0.0025636341888457537	0.6156482696533203	0.5001512169837952	0.9567610621452332
8gy5	0.0023064846	0.004588485229760408	0.00235725031234324	0.602878987789154	0.5241727828979492	0.9464831948280334
8gy5	0.0022751591	0.004625463392585516	0.0023503550328314304	0.6145343780517578	0.4639533460140228	0.9583895206451416
8gye	0.0035864909	0.003536020638421178	0.0015923751052469015	0.2436707466840744	0.012061616405844688	0.7565158009529114
8gye	0.0031970837	0.004043359775096178	0.001521097612567246	0.13094033300876617	0.019056038931012154	0.7375954389572144
8gye	0.0030803967	0.003982923924922943	0.001633823150768876	0.3307570815086365	0.03428028151392937	0.8417748212814331
8gye	0.0031320124	0.0041165039874613285	0.0015166164375841618	0.12709565460681915	0.012450744397938251	0.7278112173080444
8gye	0.0038857707	0.0041730678640306	0.00099430070258677	0.4263654947280884	0.010565334931015968	0.8081012964248657
8h5t	0.0067690304			0.030181242153048515	0.01894829049706459	0.17389699816703796
8h5t	0.006777194			0.08522427827119827	0.023030687123537064	0.3361705541610718
8h5t	0.006760228			0.021543851122260094	0.09549330919981003	0.13900238275527954
8h5t	0.0067769918			0.07776497304439545	0.02282877266407013	0.3199460208415985
8h5t	0.006769633			0.03250788152217865	0.019438663497567177	0.18064744770526886
8h5u	0.0068681436			0.3297154903411865	0.00984365027397871	0.3579089641571045
8h63	0.005136533			0.5985769033432007	0.6431825757026672	0.7866559028625488
8h63	0.005137544			0.6160046458244324	0.7193408012390137	0.7866678237915039
8h63	0.0051206495			0.6357932090759277	0.7295541167259216	0.8116726875305176
8h63	0.0050383545			0.7607855796813965	0.714611828327179	0.8392423391342163
8h63	0.0050998614			0.6739433407783508	0.4738170802593231	0.8022042512893677
8hes	0.0032074037	0.0028393976390361786	0.0013208158779889345	0.07039101421833038	0.6621611714363098	0.4716635048389435
8hes	0.0032395876	0.0028520869091153145	0.0012806642334908247	0.05823202431201935	0.08660406619310379	0.4846862852573395
8hes	0.0032209214	0.002566506853327155	0.0015493693063035607	0.08574113994836807	0.022725338116288185	0.5021730661392212
8hes	0.0031914236	0.002852160483598709	0.0013239022810012102	0.07357750833034515	0.08633031696081161	0.4983871579170227
8hes	0.003231031	0.0029112438205629587	0.0012356986990198493	0.05591663345694542	0.07563583552837372	0.453077495098114
8hr2	0.0064166067			0.15782633423805237	0.2697693109512329	0.26567813754081726
8hr2	0.00644781			0.11923091113567352	0.02545727603137493	0.19721335172653198
8hr2	0.0063976827			0.32305899262428284	0.009126481600105762	0.7289484739303589
8hr2	0.00648074			0.26070401072502136	0.08148466795682907	0.5784057974815369
8hr2	0.006495941			0.22129300236701965	0.009818759746849537	0.4018307328224182
8idi	0.006180801			0.27983781695365906	0.007032492663711309	0.44828784465789795
8idi	0.0061253905			0.3513263463973999	0.006862532813102007	0.7369755506515503
8ido	0.0061229784			0.3524682819843292	0.006784527562558651	0.752874493598938
