pdb	cdr_h3_len	has_light	iptm	confidence_score	pae_cdr_ag	pae_fw_ag	pae_heavy_ag	ratio_cdr_fw	n_framework	n_cdr_h3	imbalance_ratio
7y3o	17	True	0.6873996257781982	0.8711208701133728	15.29913	17.796	17.608181	0.8596949	209	17	12.294117647058824
7yds	12	True	0.7926271557807922	0.9004587531089783	11.9969845	13.893152	13.789726	0.8635178	208	12	17.333333333333332
7yv1	13	True	0.8238878846168518	0.907748818397522	8.329482	11.599488	11.408001	0.7180905	209	13	16.076923076923077
7z1x	12	False	0.5917052626609802	0.7736627459526062	16.071234	14.033883	14.246476	1.1451737	103	12	8.583333333333334
7zau	17	False	0.17144227027893066	0.7519924640655518	25.95576	25.702446	25.73662	1.0098556	109	17	6.411764705882353
7zoz	15	True	0.6624001264572144	0.8650199174880981	18.420095	19.486084	19.414383	0.94529486	208	15	13.866666666666667
8a44	16	True	0.6101586818695068	0.8596819043159485	18.868448	19.989119	19.909426	0.943936	209	16	13.0625
8acf	11	True	0.6520395874977112	0.8728280067443848	21.072683	22.057886	22.0084	0.95533556	208	11	18.90909090909091
8aci	11	True	0.6929103136062622	0.8796330690383911	18.389112	19.61651	19.554861	0.9374304	208	11	18.90909090909091
8aok	20	False	0.783233642578125	0.8890385627746582	5.8031983	6.3704305	6.281102	0.9109586	107	20	5.35
8aom	12	False	0.9072762727737427	0.9351304173469543	7.3899937	7.11824	7.1458755	1.0381771	106	12	8.833333333333334
8apy	14	False	0.9083456993103027	0.9592634439468384	2.7894099	5.012387	4.7551823	0.5565033	107	14	7.642857142857143
8b17	17	False	0.9310282468795776	0.9287022948265076	4.676977	6.9217706	6.621287	0.6756909	110	17	6.470588235294118
8b18	17	False	0.9310282468795776	0.9287022948265076	4.676977	6.9217706	6.621287	0.6756909	110	17	6.470588235294118
8b19	17	False	0.9310282468795776	0.9287022948265076	4.676977	6.9217706	6.621287	0.6756909	110	17	6.470588235294118
8b1a	17	False	0.9310282468795776	0.9287022948265076	4.676977	6.9217706	6.621287	0.6756909	110	17	6.470588235294118
8b1d	17	False	0.9310282468795776	0.9287022948265076	4.676977	6.9217706	6.621287	0.6756909	110	17	6.470588235294118
8b1e	17	False	0.9310282468795776	0.9287022948265076	4.676977	6.9217706	6.621287	0.6756909	110	17	6.470588235294118
8b1f	17	False	0.9310282468795776	0.9287022948265076	4.676977	6.9217706	6.621287	0.6756909	110	17	6.470588235294118
8b1g	17	False	0.9310282468795776	0.9287022948265076	4.676977	6.9217706	6.621287	0.6756909	110	17	6.470588235294118
8b7h	17	True	0.6874573826789856	0.8576530814170837	19.860348	20.146885	20.124844	0.9857776	204	17	12.0
8be2	11	False	0.3572007417678833	0.7845590710639954	21.424498	21.689407	21.664286	0.98778623	105	11	9.545454545454545
8bec	12	False	0.1577017903327942	0.7635049223899841	25.15178	26.50889	26.436512	0.94880545	213	12	17.75
8bg2	13	False	0.46317431330680847	0.8274655342102051	16.89646	22.477667	22.158037	0.75169986	214	13	16.46153846153846
8bg3	12	False	0.5151345729827881	0.8452802896499634	17.112797	20.651836	20.463087	0.8286332	213	12	17.75
8bg4	11	False	0.21486300230026245	0.7872235178947449	22.4373	25.20937	25.072014	0.89003813	211	11	19.181818181818183
8bg5	12	False	0.31790706515312195	0.7928699851036072	21.078196	24.783773	24.586143	0.8504837	213	12	17.75
8bk2	9	True	0.9131519794464111	0.9436901211738586	3.5153444	7.951661	7.764211	0.44208932	204	9	22.666666666666668
8byu	14	True	0.6203329563140869	0.8549367189407349	17.81201	20.114357	19.969162	0.88553715	208	14	14.857142857142858
8c3k	5	False	0.9178950190544128	0.9291813969612122	2.302138	3.5142314	3.4596324	0.65509003	106	5	21.2
8c5h	10	False	0.5905771255493164	0.8502565622329712	13.065007	10.722636	10.916221	1.218451	111	10	11.1
8cbf	11	True	0.7242236733436584	0.9091375470161438	14.510351	16.776949	16.660984	0.8648981	204	11	18.545454545454547
8d9y	20	True	0.8262559771537781	0.896367073059082	11.562928	12.898381	12.776422	0.8964635	199	20	9.95
8d9z	20	True	0.7112929224967957	0.8730489611625671	16.67608	18.487894	18.328264	0.902	207	20	10.35
