pdb	has_light	pae_h1_ag	pae_h2_ag	pae_h3_ag	pae_fw_ag	pae_l1_ag	pae_l2_ag	pae_l3_ag	pae_lfw_ag
7y3o	True	15.442539	15.207829	15.29913	18.000834	15.846646308898926	15.881221771240234	15.429743766784668	17.956912994384766
7yds	True	11.752775	11.0085335	11.9969845	14.086498	11.068596839904785	10.827783584594727	12.08202075958252	13.418044090270996
7yv1	True	9.002102	8.491212	8.329482	11.833345	8.668013572692871	8.27184009552002	8.103913307189941	11.591421127319336
7z1x	False	15.835611	13.596695	16.071234	13.904865				
7zau	False	26.308292	25.86453	25.95576	25.636385				
7zoz	True	17.372591	17.685379	18.420095	19.649178	17.37006187438965	17.305498123168945	17.15960693359375	19.346328735351562
8a44	True	18.117834	18.136354	18.868448	20.143482	18.62159538269043	18.511648178100586	18.61092185974121	20.015260696411133
8acf	True	20.945189	20.850525	21.072683	22.154554	20.90642547607422	21.009241104125977	20.936878204345703	21.81106948852539
8aci	True	18.151508	17.980316	18.389112	19.745728	18.291303634643555	18.383583068847656	18.142698287963867	19.45713233947754
8aok	False	7.8987308	5.4690175	5.8031983	6.315318				
8aom	False	9.550384	6.3826637	7.3899937	6.9610076				
8apy	False	5.9279857	6.702498	2.7894099	4.783313				
8b17	False	5.4906297	4.58738	4.676977	7.214295				
8b18	False	5.4906297	4.58738	4.676977	7.214295				
8b19	False	5.4906297	4.58738	4.676977	7.214295				
8b1a	False	5.4906297	4.58738	4.676977	7.214295				
8b1d	False	5.4906297	4.58738	4.676977	7.214295				
8b1e	False	5.4906297	4.58738	4.676977	7.214295				
8b1f	False	5.4906297	4.58738	4.676977	7.214295				
8b1g	False	5.4906297	4.58738	4.676977	7.214295				
8b7h	True	16.471294	16.293299	19.860348	20.467276	16.98731803894043	16.657373428344727	16.51544189453125	20.330684661865234
8be2	False	21.817833	21.55969	21.424498	21.68808				
8bec	False	24.526947	24.532856	25.15178	26.65883				
8bg2	False	14.909644	14.610243	16.89646	23.058653				
8bg3	False	13.02547	12.683115	17.112797	21.241695				
8bg4	False	22.321196	22.2804	22.4373	25.431858				
8bg5	False	19.62767	18.980453	21.078196	25.19727				
8bk2	True	3.2754138	4.104114	3.5153444	8.314376	3.7001845836639404	3.254194736480713	7.1688456535339355	7.290989875793457
8byu	True	21.856277	17.258883	17.81201	20.160753	16.43324851989746	16.39548110961914	16.221263885498047	19.821868896484375
8c3k	False	3.960861	2.39304	2.302138	3.5612125				
8c5h	False	9.51412	9.773239	13.065007	10.904354				
8cbf	True	15.474152	14.919244	14.510351	16.91144	14.840548515319824	14.346843719482422	15.216700553894043	16.557018280029297
8d9y	True	9.54042	9.899537	11.562928	13.158465	9.754301071166992	9.277583122253418	9.593440055847168	12.737740516662598
8d9z	True	16.721525	17.057653	16.67608	18.61364	16.59002113342285	15.976594924926758	16.550418853759766	18.4641170501709
8da0	True	9.907523	11.263904	13.659451	14.052287	8.926314353942871	8.858789443969727	9.429425239562988	12.87683391571045
8ee2	False	22.169529	22.221958	22.49083	22.260612				
8eln	False	3.9410641	4.8431053	3.9064932	5.8827415				
8elq	False	11.227278	11.200011	13.058948	11.630996				
8et0	False	21.541132	18.798967	18.363543	19.142668				
8evd	False	15.62306	16.77196	13.818615	13.771739				
8ezk	False	23.788603	23.580696	24.121416	24.429518				
8ezl	False	17.182756	16.54194	18.445072	24.109728				
8ezm	False	24.123383	24.086653	24.575048	26.76141				
8f5i	True	4.0017176	5.2096233	6.6719937	7.1228538	6.430474758148193	3.7984731197357178	4.934104919433594	6.863160610198975
8f6u	False	18.778181	19.944756	19.286446	19.232647				
8f6v	False	26.240286	25.00943	25.944185	24.620852				
8fdo	True	16.495783	16.665232	20.745039	18.338768	16.801698684692383	16.466169357299805	16.836711883544922	18.118324279785156
8fxv	False	15.600296	14.235872	13.70683	13.8798065				
8g0i	False	21.618235	21.524017	22.035397	21.730782				
8g4p	True	11.272674	10.015045	10.1489	14.416209	11.176766395568848	10.138442039489746	10.360730171203613	14.03637409210205
8gjr	False	8.180751	8.025687	6.056499	8.280834				
8gy5	True	1.894405	2.2858973	1.8984742	4.8103356	1.9224603176116943	1.946089506149292	1.8215943574905396	4.355438232421875
8gye	True	16.528786	16.594772	16.362297	18.34543	17.022207260131836	16.51498794555664	16.71535873413086	18.189573287963867
8h5t	False	23.140862	23.127508	23.18872	22.988605				
8h5u	False	14.968133	13.969794	14.089294	14.618566				
8h63	False	14.369397	8.617392	9.740787	9.761401				
8h64	False	7.998855	5.3941154	6.094605	6.1747847				
8hes	True	23.756964	23.644691	24.722322	25.806835	23.9312744140625	23.663532257080078	24.950353622436523	25.818273544311523
8hr2	False	20.85302	20.794336	19.927164	19.057913				
8idi	False	24.687592	23.73229	24.109241	23.42673				
8ido	False	12.818397	9.075855	7.525995	8.913681				
8im0	False	8.803629	6.687967	6.3044205	8.261043				
8im1	False	16.104473	14.864072	15.356501	15.552485				
8ipc	True	11.004637	11.146279	10.857979	15.637963	11.469221115112305	11.045873641967773	11.404052734375	15.885610580444336
8jel	True	3.2010336	3.7378278	3.7002382	7.2973385	3.345864772796631	3.1034281253814697	3.3445703983306885	6.880514144897461
8jeo	True	12.018291	11.653111	12.388052	14.552186	12.609868049621582	11.946263313293457	11.828164100646973	14.399502754211426
8jyr	True	11.4666815	11.500727	11.401483	14.220033	11.943765640258789	11.628740310668945	12.875713348388672	13.693788528442383
8k33	False	7.9421506	12.666022	8.953224	8.012427				
8k3k	False	15.734553	10.379754	14.495771	13.9882555				
8k3l	False	11.171178	11.222727	10.496813	10.733063				
8opr	False	25.806452	25.722555	27.108059	25.847559				
8oww	False	20.278639	21.346783	20.17925	19.996529				
8oxv	True	15.157648	14.868504	16.319727	20.280394	13.461976051330566	13.3646879196167	13.875199317932129	19.390819549560547
8oxw	True	24.55316	24.57146	25.185772	26.290115	24.6317195892334	24.354089736938477	25.07322883605957	26.212234497070312
8oxx	True	25.535826	25.553822	26.149977	27.019035	25.860448837280273	25.50225257873535	25.955320358276367	27.159862518310547
8oxy	True	23.372229	23.484766	23.597198	25.68547	23.72844886779785	23.18692970275879	23.727481842041016	25.53314781188965
8ozb	False	5.555639	2.610621	1.7515813	2.8368645				
8pe1	False	11.377985	11.742683	12.743359	13.078175				
8pe2	False	16.606157	15.958381	17.04304	16.225508				
8pih	False	10.133203	6.657728	10.682043	7.5292315				
8pmz	False	23.297052	23.590708	25.794493	21.58955				
8pwv	False	20.401672	19.128088	21.003626	24.493177				
8pww	False	25.71125	25.600828	25.965912	27.689203				
8pyr	False	16.436155	17.063196	17.339983	16.794344				
8q3j	True	3.9467041	3.1896641	3.9295235	7.847498	4.127851486206055	5.7156596183776855	3.0558950901031494	6.487825393676758
8q6r	False	14.139188	13.023554	14.506562	13.824288				
8q7o	False	4.465454	2.9555304	2.8133755	4.615328				
8q94	False	5.0905223	8.596889	4.1612024	5.609236				
8q95	False	4.3036537	7.0267305	3.2054856	4.4822636				
8qf4	False	3.1682098	2.0446734	1.5866328	3.27976				
8qf5	False	6.9822745	5.1929646	5.23967	4.920307				
8qgx	False	12.75116	10.9789505	11.119051	11.182974				
8qh0	True	18.524065	18.223326	18.439623	20.388704	18.703176498413086	18.393457412719727	18.53333282470703	20.074979782104492
8qrg	False	17.840895	17.35313	15.683526	16.420628				
8qz3	False	17.810793	16.909544	17.561947	17.28169				
8r4n	True	6.5822935	8.84615	7.883147	11.093871	7.95648193359375	6.616265773773193	6.471324443817139	12.752806663513184
8r4u	False	26.033047	25.959627	26.386135	17.39987				
8rby	False	12.040905	11.153267	12.718157	9.96875				
8rj7	False	22.578838	21.890192	22.289398	22.14401				
8rp8	True	12.772756	12.85689	13.241059	15.459922	13.030657768249512	12.678020477294922	14.325874328613281	15.471345901489258
8rw9	False	18.241335	18.443132	18.187786	18.828794				
8rwb	True	5.559084	5.838234	5.9433265	9.138579	6.296064376831055	5.95781946182251	6.357609748840332	8.772061347961426
8rz0	False	13.933994	14.111765	14.2751665	21.40323				
8rz1	False	16.63283	17.064407	16.814135	19.316418				
8rz2	True	21.557299	21.901957	22.033064	24.155119	21.487287521362305	21.82400131225586	21.36998748779297	24.206214904785156
8s0l	False	5.2653832	5.0022173	6.506762	6.3111				
