pdb	trunk	DockQ_HA
7y3o	0	0.03024747130278564
7y3o	1	0.015984985878237067
7y3o	2	0.01883267250145454
7y3o	3	0.02948071516333725
7y3o	4	0.02226411251393874
7yds	0	0.4621345368042605
7yds	1	0.4570866335813877
7yds	2	0.40485990624217577
7yds	3	0.46501544653685317
7yds	4	0.48302206770562095
7yv1	0	0.06745506125918149
7yv1	1	0.10290878597046331
7yv1	2	0.13486868097130836
7yv1	3	0.08035427436176275
7yv1	4	0.1229032813190964
7z1x	0	
7z1x	1	
7z1x	2	
7z1x	3	
7z1x	4	
7zau	0	
7zau	1	
7zau	2	
7zau	3	
7zau	4	
7zoz	0	0.156869267662967
7zoz	1	0.04838067574751529
7zoz	2	0.06666418516544208
7zoz	3	0.07987466682150852
7zoz	4	0.3367107288409885
8a44	0	0.004923664868857649
8a44	1	0.004908811903556415
8a44	2	0.004820607270799782
8a44	3	0.004914160542117331
8a44	4	0.0048759023767332805
8acf	0	0.038032830140024815
8acf	1	0.016096779949088542
8acf	2	0.0378462673473985
8acf	3	0.038248705619699445
8acf	4	0.03789905989805467
8aci	0	0.05795154170470685
8aci	1	0.053225001862751274
8aci	2	0.03965475568820274
8aci	3	0.056558568120085854
8aci	4	0.03262803418635205
8aok	0	0.4389795149602474
8aok	1	0.437730267416619
8aok	2	0.4851397199270729
8aok	3	0.4478707449374233
8aok	4	0.4396958443092885
8aom	0	0.7719325956779709
8aom	1	0.7586627999220535
8aom	2	0.7741534121530793
8aom	3	0.7267952644199118
8aom	4	0.7615297465613167
8apy	0	0.8290453713834722
8apy	1	0.8207514766404483
8apy	2	0.8136676716406067
8apy	3	0.834340494840334
8apy	4	0.8438190304365074
8b17	0	0.14660246356576956
8b17	1	
8b17	2	0.20764190378140457
8b17	3	0.259079630459214
8b17	4	
8b18	0	
8b18	1	0.23653830500133707
8b18	2	
8b18	3	
8b18	4	
8b19	0	
8b19	1	0.1460878200043677
8b19	2	0.06571163365877433
8b19	3	0.07930693922707563
8b19	4	
8b1a	0	0.06561155925662443
8b1a	1	0.2877559551602377
8b1a	2	0.1420017370400097
8b1a	3	0.0753952798409233
8b1a	4	
8b1d	0	0.02074182231380901
8b1d	1	0.07299210687090128
8b1d	2	0.02342162514318477
8b1d	3	
8b1d	4	0.0668384697588809
8b1e	0	0.019768241184218344
8b1e	1	0.14790906861278552
8b1e	2	0.02113741450401267
8b1e	3	0.2406019380143848
8b1e	4	0.2835458086960845
8b1f	0	
8b1f	1	0.07636249597582195
8b1f	2	0.09864270481260945
8b1f	3	0.09074486970827844
8b1f	4	0.25458851147342076
8b1g	0	
8b1g	1	
8b1g	2	
8b1g	3	
8b1g	4	0.07623171758293441
8b7h	0	0.34332063011735103
8b7h	1	0.32819556828589674
8b7h	2	0.3551183579016015
8b7h	3	0.31118380909987636
8b7h	4	0.3587783799232082
8be2	0	0.4801033376529737
8be2	1	0.425616037381602
8be2	2	0.40040350969118094
8be2	3	0.407005074093449
8be2	4	0.36784370814197004
8bec	0	
8bec	1	
8bec	2	
8bec	3	
8bec	4	
8bg2	0	
8bg2	1	
8bg2	2	
8bg2	3	
8bg2	4	
8bg3	0	
